local_file,dataset_split,selection_role,openimages_split,image_id,acquisition,download_url,original_url,original_landing_url,license,author,title
dataset_v2/images/train/test_004a9745418ba5a6.jpg,train,bottle,test,004a9745418ba5a6,download,https://open-images-dataset.s3.amazonaws.com/test/004a9745418ba5a6.jpg,https://farm7.staticflickr.com/8352/8372343630_f9872e258e_o.jpg,https://www.flickr.com/photos/jasonwhite/8372343630,https://creativecommons.org/licenses/by/2.0/,Jason White,Crown Royal Maple
dataset_v2/images/train/test_004f40769dcc358f.jpg,train,bottle,test,004f40769dcc358f,download,https://open-images-dataset.s3.amazonaws.com/test/004f40769dcc358f.jpg,https://c8.staticflickr.com/3/2321/2163635693_486603f489_o.jpg,https://www.flickr.com/photos/lorchaos/2163635693,https://creativecommons.org/licenses/by/2.0/,Rodrigo Lorca,The duel
dataset_v2/images/train/test_0053092bf2b1d957.jpg,train,person_negative,test,0053092bf2b1d957,download,https://open-images-dataset.s3.amazonaws.com/test/0053092bf2b1d957.jpg,https://farm8.staticflickr.com/4135/4736744389_27a089cd28_o.jpg,https://www.flickr.com/photos/jennycu/4736744389,https://creativecommons.org/licenses/by/2.0/,jencu,touching a starfish
dataset_v2/images/train/test_008ed2884d0fab85.jpg,train,bottle,test,008ed2884d0fab85,baseline-copy,https://open-images-dataset.s3.amazonaws.com/test/008ed2884d0fab85.jpg,https://farm6.staticflickr.com/5323/7090973067_7455939130_o.jpg,https://www.flickr.com/photos/mirwav/7090973067,https://creativecommons.org/licenses/by/2.0/,Héctor Esteban Menéndez,OLAY
dataset_v2/images/train/test_00ac7126e6e3fc39.jpg,train,person_negative,test,00ac7126e6e3fc39,download,https://open-images-dataset.s3.amazonaws.com/test/00ac7126e6e3fc39.jpg,https://c2.staticflickr.com/7/6141/5997611396_a004def2f1_o.jpg,https://www.flickr.com/photos/highwaysagency/5997611396/,https://creativecommons.org/licenses/by/2.0/,We have moved! Please visit /highwaysengland,HA0528-037
dataset_v2/images/train/test_00cd932265611688.jpg,train,person_negative,test,00cd932265611688,download,https://open-images-dataset.s3.amazonaws.com/test/00cd932265611688.jpg,https://c1.staticflickr.com/9/8490/8211838216_39ace10196_o.jpg,https://www.flickr.com/photos/victorsmaria/8211838216,https://creativecommons.org/licenses/by/2.0/,Víctor Santa María,Waterpolo Suterh Campeón Metropolitano - Víctor Santa María
dataset_v2/images/train/test_024fc048dd1cb61a.jpg,train,bottle,test,024fc048dd1cb61a,download,https://open-images-dataset.s3.amazonaws.com/test/024fc048dd1cb61a.jpg,https://c3.staticflickr.com/8/7331/14197779072_e90caa034c_o.jpg,https://www.flickr.com/photos/xavier_leon/14197779072,https://creativecommons.org/licenses/by/2.0/,Xavier León,"Saboreando sa,-saboreando. Saboreando sa,-saboreando"
dataset_v2/images/train/test_02ca56a928857d93.jpg,train,keyboard,test,02ca56a928857d93,baseline-copy,https://open-images-dataset.s3.amazonaws.com/test/02ca56a928857d93.jpg,https://farm4.staticflickr.com/7417/12589927604_28e7b59f94_o.jpg,https://www.flickr.com/photos/timjoyfamily/12589927604,https://creativecommons.org/licenses/by/2.0/,Tim Walker,2014 (Day 48 - Feb 17th): Eee 701SD netbook
dataset_v2/images/train/test_041c3baee925befd.jpg,train,keyboard,test,041c3baee925befd,baseline-copy,https://open-images-dataset.s3.amazonaws.com/test/041c3baee925befd.jpg,https://c6.staticflickr.com/8/7203/6951938837_718a6ba939_o.jpg,https://www.flickr.com/photos/7958754@N03/6951938837,https://creativecommons.org/licenses/by/2.0/,Jiri Brozovsky,HP 95LX
dataset_v2/images/train/test_048b46152eebee01.jpg,train,keyboard,test,048b46152eebee01,download,https://open-images-dataset.s3.amazonaws.com/test/048b46152eebee01.jpg,https://farm2.staticflickr.com/94/282162505_a43b88bca5_o.jpg,https://www.flickr.com/photos/cecio/282162505,https://creativecommons.org/licenses/by/2.0/,Francesco Pozzi,HPIM2275.JPG
