local_file,dataset_split,openimages_split,image_id,download_url,original_url,original_landing_url,license,author,title
dataset/images/train/test_008ed2884d0fab85.jpg,train,test,008ed2884d0fab85,https://open-images-dataset.s3.amazonaws.com/test/008ed2884d0fab85.jpg,https://farm6.staticflickr.com/5323/7090973067_7455939130_o.jpg,https://www.flickr.com/photos/mirwav/7090973067,https://creativecommons.org/licenses/by/2.0/,Héctor Esteban Menéndez,OLAY
dataset/images/train/test_01495549e1f4fd2e.jpg,train,test,01495549e1f4fd2e,https://open-images-dataset.s3.amazonaws.com/test/01495549e1f4fd2e.jpg,https://c7.staticflickr.com/2/1421/5139689159_4ea9f20bee_o.jpg,https://www.flickr.com/photos/grannieskitchen/5139689159,https://creativecommons.org/licenses/by/2.0/,Grannies Kitchen,Vintage Nu Jersey-Creme Company Soda Syphon / Seltzer Bottle Manufactured by British Syphon Co. Ltd.
dataset/images/val/test_027b5c62f38fc44e.jpg,val,test,027b5c62f38fc44e,https://open-images-dataset.s3.amazonaws.com/test/027b5c62f38fc44e.jpg,https://c7.staticflickr.com/4/3333/3433411113_47d6d30852_o.jpg,https://www.flickr.com/photos/kwintin/3433411113,https://creativecommons.org/licenses/by/2.0/,Quentin Meulepas,iMac Setup 2009
dataset/images/train/test_02ca56a928857d93.jpg,train,test,02ca56a928857d93,https://open-images-dataset.s3.amazonaws.com/test/02ca56a928857d93.jpg,https://farm4.staticflickr.com/7417/12589927604_28e7b59f94_o.jpg,https://www.flickr.com/photos/timjoyfamily/12589927604,https://creativecommons.org/licenses/by/2.0/,Tim Walker,2014 (Day 48 - Feb 17th): Eee 701SD netbook
dataset/images/train/test_041c3baee925befd.jpg,train,test,041c3baee925befd,https://open-images-dataset.s3.amazonaws.com/test/041c3baee925befd.jpg,https://c6.staticflickr.com/8/7203/6951938837_718a6ba939_o.jpg,https://www.flickr.com/photos/7958754@N03/6951938837,https://creativecommons.org/licenses/by/2.0/,Jiri Brozovsky,HP 95LX
dataset/images/train/test_0499037adbb9cdff.jpg,train,test,0499037adbb9cdff,https://open-images-dataset.s3.amazonaws.com/test/0499037adbb9cdff.jpg,https://c8.staticflickr.com/9/8652/16025764813_68d7fa6a28_o.jpg,https://www.flickr.com/photos/ndmccrae/16025764813,https://creativecommons.org/licenses/by/2.0/,Neil McCrae,Good night....
dataset/images/train/test_04b01356c42e5d28.jpg,train,test,04b01356c42e5d28,https://open-images-dataset.s3.amazonaws.com/test/04b01356c42e5d28.jpg,https://c1.staticflickr.com/8/7172/6504181677_83624d64c7_o.jpg,https://www.flickr.com/photos/qqjawe/6504181677,https://creativecommons.org/licenses/by/2.0/,JC Awe,Unix keyboard
dataset/images/train/test_0646fb850d6442dd.jpg,train,test,0646fb850d6442dd,https://open-images-dataset.s3.amazonaws.com/test/0646fb850d6442dd.jpg,https://c6.staticflickr.com/3/2787/5719743365_144704f452_o.jpg,https://www.flickr.com/photos/rssupport/5719743365,https://creativecommons.org/licenses/by/2.0/,Robin Myerscough,IMG_9517
dataset/images/train/test_07462a0005636821.jpg,train,test,07462a0005636821,https://open-images-dataset.s3.amazonaws.com/test/07462a0005636821.jpg,https://farm2.staticflickr.com/5227/5618118637_8fbd466491_o.jpg,https://www.flickr.com/photos/hijadesastre/5618118637,https://creativecommons.org/licenses/by/2.0/,Kus Cámara,La del medio
dataset/images/val/test_0790092f10116349.jpg,val,test,0790092f10116349,https://open-images-dataset.s3.amazonaws.com/test/0790092f10116349.jpg,https://c2.staticflickr.com/8/7737/18192983222_850b74af53_o.jpg,https://www.flickr.com/photos/goherb/18192983222,https://creativecommons.org/licenses/by/2.0/,HERBALIFE ( Independent Distributor ),Herbalife neon shaker #herbalife #herbalifeshake #sardegna #shaker #herbalifeapparel
