local_file,dataset_split,selection_role,source_dataset,coco_image_id,coco_file_name,acquisition,download_url,flickr_url,license_id,license_name,license_url,horizontal_bottle_boxes
dataset_v3/images/train/coco_train2017_000000000338.jpg,train,person_negative,COCO 2017 train,338,000000000338.jpg,download,http://images.cocodataset.org/train2017/000000000338.jpg,http://farm2.staticflickr.com/1234/3424924993_966676412d_z.jpg,3,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,0
dataset_v3/images/train/coco_train2017_000000004673.jpg,train,horizontal_bottle,COCO 2017 train,4673,000000004673.jpg,download,http://images.cocodataset.org/train2017/000000004673.jpg,http://farm4.staticflickr.com/3642/5701220899_b9cbcb7dcc_z.jpg,1,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,1
dataset_v3/images/train/coco_train2017_000000004796.jpg,train,horizontal_bottle,COCO 2017 train,4796,000000004796.jpg,download,http://images.cocodataset.org/train2017/000000004796.jpg,http://farm7.staticflickr.com/6238/6289252033_aa4fac47d6_z.jpg,4,Attribution License,http://creativecommons.org/licenses/by/2.0/,1
dataset_v3/images/train/coco_train2017_000000005832.jpg,train,keyboard,COCO 2017 train,5832,000000005832.jpg,download,http://images.cocodataset.org/train2017/000000005832.jpg,http://farm1.staticflickr.com/35/113341082_2c3e6d0cbb_z.jpg,6,Attribution-NoDerivs License,http://creativecommons.org/licenses/by-nd/2.0/,0
dataset_v3/images/train/coco_train2017_000000007319.jpg,train,horizontal_bottle,COCO 2017 train,7319,000000007319.jpg,download,http://images.cocodataset.org/train2017/000000007319.jpg,http://farm3.staticflickr.com/2409/2326805763_0021bf4f91_z.jpg,4,Attribution License,http://creativecommons.org/licenses/by/2.0/,1
dataset_v3/images/val/coco_train2017_000000008583.jpg,val,keyboard,COCO 2017 train,8583,000000008583.jpg,download,http://images.cocodataset.org/train2017/000000008583.jpg,http://farm1.staticflickr.com/77/198310099_ce35d1cad4_z.jpg,1,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,0
dataset_v3/images/train/coco_train2017_000000010145.jpg,train,keyboard,COCO 2017 train,10145,000000010145.jpg,download,http://images.cocodataset.org/train2017/000000010145.jpg,http://farm5.staticflickr.com/4118/4740387609_ce9bb3f14a_z.jpg,2,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,0
dataset_v3/images/train/coco_train2017_000000012463.jpg,train,keyboard,COCO 2017 train,12463,000000012463.jpg,download,http://images.cocodataset.org/train2017/000000012463.jpg,http://farm8.staticflickr.com/7382/9447945233_d8c8646052_z.jpg,3,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,0
dataset_v3/images/train/coco_train2017_000000013140.jpg,train,keyboard,COCO 2017 train,13140,000000013140.jpg,download,http://images.cocodataset.org/train2017/000000013140.jpg,http://farm2.staticflickr.com/1075/1425253498_89a76efb2a_z.jpg,1,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,0
dataset_v3/images/train/coco_train2017_000000014036.jpg,train,horizontal_bottle,COCO 2017 train,14036,000000014036.jpg,download,http://images.cocodataset.org/train2017/000000014036.jpg,http://farm6.staticflickr.com/5251/5501646128_0db3bab418_z.jpg,2,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,1
dataset_v3/images/val/coco_train2017_000000014629.jpg,val,horizontal_bottle,COCO 2017 train,14629,000000014629.jpg,download,http://images.cocodataset.org/train2017/000000014629.jpg,http://farm4.staticflickr.com/3204/2945213105_9be0ea4312_z.jpg,1,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,1
dataset_v3/images/train/coco_train2017_000000016112.jpg,train,horizontal_bottle,COCO 2017 train,16112,000000016112.jpg,download,http://images.cocodataset.org/train2017/000000016112.jpg,http://farm7.staticflickr.com/6210/6032446270_cf304696a9_z.jpg,3,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,1
dataset_v3/images/train/coco_train2017_000000023247.jpg,train,horizontal_bottle,COCO 2017 train,23247,000000023247.jpg,download,http://images.cocodataset.org/train2017/000000023247.jpg,http://farm6.staticflickr.com/5022/5591676946_a44cccbf4f_z.jpg,2,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,1
dataset_v3/images/val/coco_train2017_000000024072.jpg,val,horizontal_bottle,COCO 2017 train,24072,000000024072.jpg,download,http://images.cocodataset.org/train2017/000000024072.jpg,http://farm5.staticflickr.com/4082/4755898145_075c4f9dab_z.jpg,4,Attribution License,http://creativecommons.org/licenses/by/2.0/,1
dataset_v3/images/train/coco_train2017_000000024880.jpg,train,keyboard,COCO 2017 train,24880,000000024880.jpg,download,http://images.cocodataset.org/train2017/000000024880.jpg,http://farm3.staticflickr.com/2425/3572193091_cec863bb0a_z.jpg,1,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,0
dataset_v3/images/train/coco_train2017_000000031081.jpg,train,horizontal_bottle,COCO 2017 train,31081,000000031081.jpg,download,http://images.cocodataset.org/train2017/000000031081.jpg,http://farm3.staticflickr.com/2524/3819105387_0584bec52a_z.jpg,4,Attribution License,http://creativecommons.org/licenses/by/2.0/,1
dataset_v3/images/train/coco_train2017_000000032627.jpg,train,person_negative,COCO 2017 train,32627,000000032627.jpg,download,http://images.cocodataset.org/train2017/000000032627.jpg,http://farm1.staticflickr.com/10/14137094_8d2645b79e_z.jpg,3,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,0
dataset_v3/images/val/coco_train2017_000000033764.jpg,val,person_negative,COCO 2017 train,33764,000000033764.jpg,download,http://images.cocodataset.org/train2017/000000033764.jpg,http://farm8.staticflickr.com/7072/7165539512_9280651b7b_z.jpg,1,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,0
dataset_v3/images/val/coco_train2017_000000036544.jpg,val,horizontal_bottle,COCO 2017 train,36544,000000036544.jpg,download,http://images.cocodataset.org/train2017/000000036544.jpg,http://farm3.staticflickr.com/2021/2403559934_3ca5a564c8_z.jpg,5,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,1
dataset_v3/images/train/coco_train2017_000000037394.jpg,train,horizontal_bottle,COCO 2017 train,37394,000000037394.jpg,download,http://images.cocodataset.org/train2017/000000037394.jpg,http://farm2.staticflickr.com/1323/1271530830_6f2e51018c_z.jpg,1,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,1
